Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
urban,Dhaka,26,Abroad,Postgraduate,Joint family (with in-laws),married with children,0,5001-10000,31-50%,Between 2nd to 6th month of marriage,Verbal,Mental,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Satisfied,Yes,0
suburban,Rajshahi,42,Unemployed,Postgraduate,Single family,married with children,1,0,0%,After 12 months of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Fully satisfied,Yes,0
suburban,Rangpur,34,Unemployed,Postgraduate,Single family,married without children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,36,Businessman,Graduate,Single family,married with children,1,25001-50000,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Dissatisfied,No,0
suburban,Dhaka,42,Employed,High school,Single family,married without children,1,25001-50000,31-50%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,No,0
urban,Dhaka,44,Businessman,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,11-30%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Satisfied,No,0
urban,Dhaka,32,Businessman,High school,Joint family (with in-laws),married with children,1,25001-50000,1-10%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Rangpur,24,Employed,Graduate,Joint family (with in-laws),married with children,1,5001-10000,11-30%,Between 2nd to 6th month of marriage,Verbal,Verbal,Outside (in front of everyone),Arranged Marriage,Neither spouse is divorced,1-3 years,Both involved in adultery,Dissatisfied,Husband is not capable,Partially satisfied,Yes,0
urban,Chittagong,34,Businessman,Graduate,Joint family (without in-laws),married without children,1,25001-50000,31-50%,Within the 1st month of marriage,Mental,"Physical, mental, verbal",In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
rural,Dhaka,43,Employed,Postgraduate,Single family,married with children,1,25001-50000,1-10%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Fully satisfied,Both are capable,Dissatisfied,No,0
suburban,Chittagong,26,Businessman,Graduate,Single family,married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, verbal",In the house,Arranged Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Partially satisfied,Wife is not capable,Fully satisfied,Yes,0
rural,Rangpur,28,Businessman,Graduate,Joint family (with in-laws),married with children,1,50000-More,31-50%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
urban,Dhaka,38,Employed,Postgraduate,Single family,married with children,1,50000-More,11-30%,Within the 1st month of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
urban,Dhaka,39,Employed,High school,Joint family (without in-laws),married without children,0,50000-More,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Both previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,No,1
suburban,Dhaka,20,Businessman,Graduate,Joint family (with in-laws),married with children,1,5001-10000,1-10%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Satisfied,Yes,1
urban,Chittagong,40,Employed,Graduate,Joint family (without in-laws),married with children,1,15001-25000,51-75%,Between 2nd to 6th month of marriage,Verbal,"Physical, verbal",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Satisfied,Both are incapable,Fully dissatisfied,Yes,0
suburban,Dhaka,40,Employed,Postgraduate,Joint family (with in-laws),married with children,0,5001-10000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
rural,Dhaka,24,Employed,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,1-10%,After 12 months of marriage,Mental,"Mental, verbal",In the house,Love Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Partially dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Sylhet,27,Businessman,Graduate,Single family,married without children,0,25001-50000,31-50%,After 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are incapable,Partially dissatisfied,Yes,0
rural,Dhaka,23,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Partially dissatisfied,Husband is not capable,Fully satisfied,Yes,0
suburban,Dhaka,38,Businessman,Postgraduate,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Satisfied,Both are capable,Dissatisfied,Yes,0
rural,Khulna,27,Employed,High school,Single family,married with children,1,25001-50000,11-30%,Within the 1st month of marriage,Verbal,Mental,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rangpur,38,Employed,Graduate,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully satisfied,Both are incapable,Fully satisfied,Yes,0
suburban,Dhaka,26,Employed,Graduate,Joint family (with in-laws),married without children,1,15001-25000,51-75%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,No,0
urban,Rangpur,27,Employed,High school,Joint family (with in-laws),married with children,0,15001-25000,11-30%,After 12 months of marriage,"Mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Comilla,21,Businessman,Graduate,Joint family (with in-laws),married with children,1,15001-25000,31-50%,After 12 months of marriage,Mental,"Physical, verbal",Both indoors and outdoors,Arranged Marriage,Both previously divorced,1-3 years,Husband involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
suburban,Dhaka,23,Employed,High school,Joint family (without in-laws),married with children,1,15001-25000,1-10%,After 12 months of marriage,Verbal,"Physical, mental, verbal",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,No,1
rural,Khulna,22,Employed,Graduate,Joint family (with in-laws),married with children,1,25001-50000,0%,Between 2nd to 6th month of marriage,"Physical, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,31,Businessman,Postgraduate,Joint family (with in-laws),married without children,1,5001-10000,11-30%,Within the 1st month of marriage,"Mental, verbal",Verbal,In the house,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,Yes,1
urban,Chittagong,39,Employed,Graduate,Single family,married with children,0,25001-50000,31-50%,Within the 1st month of marriage,"Mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Chittagong,41,Employed,Postgraduate,Joint family (with in-laws),married with children,0,0,0%,Within the 1st month of marriage,Verbal,Verbal,In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,1
urban,Dhaka,39,Employed,Postgraduate,Single family,married with children,1,15001-25000,1-10%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Dissatisfied,Yes,0
suburban,Dhaka,36,Employed,Postgraduate,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,"Physical, mental, verbal",Verbal,Both indoors and outdoors,Love Marriage,Husband previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Barisal,25,Abroad,Graduate,Single family,married with children,0,50000-More,31-50%,Between 2nd to 6th month of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,No,0
suburban,Chittagong,45,Businessman,Graduate,Single family,married without children,0,0,0%,After 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Husband previously divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Dhaka,33,Businessman,Postgraduate,Joint family (with in-laws),married with children,1,50000-More,51-75%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,0-1 year,Wife involved in adultery,Fully dissatisfied,Husband is not capable,Fully satisfied,Yes,0
urban,Chittagong,41,Businessman,High school,Joint family (with in-laws),married without children,1,25001-50000,51-75%,After 12 months of marriage,"Mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,No,0
urban,Sylhet,21,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,1-10%,After 12 months of marriage,"Physical, verbal","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Dhaka,27,Businessman,Graduate,Single family,married with children,1,15001-25000,11-30%,After 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Dissatisfied,Yes,0
urban,Khulna,35,Employed,High school,Joint family (with in-laws),married with children,1,5001-10000,31-50%,After 12 months of marriage,"Mental, verbal",Mental,In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Satisfied,No,0
urban,Rangpur,45,Unemployed,Postgraduate,Joint family (without in-laws),married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Mymensingh,20,Employed,Graduate,Single family,married without children,0,5001-10000,1-10%,After 12 months of marriage,Mental,Mental,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Both involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
